iter	Passed	Remaining
0	0	81
1	4	218
2	5	170
3	5	143
4	7	134
5	7	123
6	8	113
7	9	104
8	9	98
9	10	92
10	10	88
11	11	84
12	12	81
13	13	80
14	13	77
15	14	75
16	14	72
17	15	71
18	18	77
19	19	79
20	20	78
21	21	76
22	22	74
23	22	72
24	23	70
25	24	68
26	24	66
27	25	64
28	26	64
29	26	62
30	27	61
31	28	59
32	28	58
33	29	56
34	29	55
35	30	54
36	33	57
37	35	57
38	36	56
39	36	55
40	37	54
41	38	52
42	39	51
43	39	50
44	40	49
45	41	48
46	41	47
47	42	45
48	42	44
49	43	43
50	44	42
51	44	41
52	45	40
53	49	42
54	50	41
55	51	40
56	51	39
57	52	38
58	53	37
59	53	35
60	54	34
61	55	33
62	55	32
63	56	31
64	56	30
65	57	29
66	58	28
67	58	27
68	59	26
69	60	25
70	60	24
71	64	25
72	65	24
73	66	23
74	67	22
75	67	21
76	68	20
77	68	19
78	69	18
79	70	17
80	70	16
81	71	15
82	71	14
83	72	13
84	73	12
85	74	12
86	74	11
87	75	10
88	75	9
89	78	8
90	80	7
91	81	7
92	81	6
93	82	5
94	83	4
95	83	3
96	84	2
97	84	1
98	85	0
99	86	0
